miles,debt,income,sales
22,8096,5276,3
21,45358,7340,4
26,8464,7632,3
47,2303,8605,3
30,1982,6355,2
13,0,4782,1
24,9925,1278,1
18,5078,0,1
23,863,2695,2
18,1821,6498,2
33,328,5877,3
25,282,9891,3
22,211,4215,2
13,8717,2220,2
19,6454,9566,2
30,8017,10155,2
27,4295,6297,3
23,7298,5521,3
25,6413,7458,3
24,876,4440,2
30,961,6544,2
20,5361,7904,2
28,5603,11276,2
23,5286,6330,1
22,7719,5748,3
37,31049,6143,4
43,46075,8210,4
21,4214,10232,3
41,837,8509,3
48,7258,1774,3
18,9546,7781,3
12,0,5005,1
35,1417,3695,2
28,6564,10795,3
11,1335,3447,2
32,4603,5596,3
77,47931,6082,4
48,42204,9951,4
27,0,2664,1
20,6642,5157,3
27,261,4983,2
16,86,1066,1
29,989,1532,1
10,95,2688,2
25,55112,7806,4
19,8804,1340,3
27,497,8448,2
62,42341,7395,4
20,4957,7422,3
18,9865,5563,2
22,42597,10310,4
41,20338,9541,3
15,5079,0,2
67,42738,8310,4
34,37598,7658,4
34,5543,9306,3
19,9106,6238,1
11,0,1782,1
24,819,10531,1
48,7794,9535,3
13,0,1844,1
33,9105,5327,3
37,53891,9330,4
16,8525,5854,3
45,26994,9160,4
28,8286,2838,2
27,9746,3727,2
77,42576,8811,4
10,5330,3593,2
21,56163,7077,4
15,5107,7028,2
25,5214,6171,2
14,7997,3977,2
23,57387,10257,4
87,43893,6272,4
46,7952,8553,3
47,31111,11012,3
42,37581,6415,4
33,27182,10107,4
20,8053,1543,1
15,0,1478,1
28,6934,4757,2
26,50381,9260,4
15,896,4411,1
32,51908,7169,4
30,45904,11507,4
11,9533,3872,2
14,666,1262,1
28,1309,5704,2
22,2418,1444,1
34,42643,8390,4
35,49641,11206,4
16,9944,5376,3
11,1929,3053,2
38,26575,6638,4
22,12105,10490,3
27,0,4963,1
27,3619,2319,2
18,1397,1761,2
23,52381,7355,4
22,788,7293,1
24,467,4981,2
19,3340,1388,1
31,7554,6170,3
27,49721,9359,4
25,34611,7243,4
28,4509,7125,2
30,0,1673,1
21,41751,10401,4
21,46971,7912,4
36,41147,6561,4
28,331,2768,2
23,1161,5184,1
27,1147,11548,2
28,6991,5797,2
30,3956,6991,2
23,898,2769,1
13,1626,10614,1
27,8910,0,1
18,5425,0,1
32,48726,9619,4
24,994,6912,2
34,7007,2342,2
28,0,1940,1
12,0,1694,1
25,4553,10386,3
42,36690,9843,4
17,9282,1102,2
34,8508,9686,3
18,8649,5970,3
21,45639,9460,4
20,7945,11817,3
16,6925,10071,3
26,2839,7679,3
22,2109,6417,3
33,6868,6909,3
23,5809,5548,3
30,2359,9308,2
14,829,3703,2
22,9058,7245,3
22,29299,11844,3
33,4738,5555,2
14,4311,1164,2
45,28687,9148,3
42,0,9455,4
28,1993,4597,2
24,4947,6133,3
24,56185,9625,4
31,2847,4411,3
28,1322,4880,1
10,1002,0,1
30,4459,5834,2
77,56206,8325,4
24,0,151,1
40,58029,8835,4
31,56986,10031,4
14,471,7569,2
26,9078,10185,3
21,30454,2519,3
34,5721,6398,3
26,7207,4178,3
50,26581,8972,4
28,563,10103,3
95,12500,8644,4
72,40353,9082,4
21,2475,6024,2
25,7044,5802,3
30,0,1393,1
18,6456,1526,2
25,6978,8874,3
34,31178,8114,3
19,5536,0,1
30,5051,7027,3
25,47406,10518,4
30,363,11811,1
30,1771,4600,1
10,3205,6823,2
27,0,1895,1
48,25611,11694,4
24,699,4057,2
21,9902,3219,3
26,946,1059,1
21,3658,4221,3
18,8989,4249,2
17,6493,7095,3
23,3574,2189,2
23,5842,6019,2
27,7133,11292,3
11,8778,9829,1
23,4850,3470,2
28,9312,2720,3
29,51343,8713,4
15,3735,6406,2
